"lat","lon","nl_mean","nl_min","nl_max","nl_median","nl_sd","cluster","wealthscore","n"
13.359284,121.054206,0.278409090909091,0,3,0,0.839584776781117,216,-32131.3571428571,14
13.35981,121.862668,0.340909090909091,0,3,0,0.936697708656639,208,-41647.6470588235,17
13.372797,123.372452,3.90340909090909,0,11,3.5,1.73922471158922,262,8991.5,18
13.388536,123.421201,4.43181818181818,0,12,4,2.23118394987545,259,17978.5416666667,24
13.417947,123.414831,4.78977272727273,0,12,4,2.46486347452591,260,79283.9444444444,18
13.421976,122.032023,0.294117647058824,0,4,0,0.888467114777889,210,-85379.5333333333,15
13.427869,122.481003,0.585227272727273,0,3,0,1.1076915272225,185,-49182.0625,16
13.430747,123.278868,1.96590909090909,0,4,3,1.42987602768403,254,-6176.5625,16
13.439069,120.680213,0.529411764705882,0,4,0,1.16993758517033,211,-32357,16
13.446299,121.981131,0.535294117647059,0,4,0,1.14687183317943,209,-21756.0666666667,15
13.446733,123.694042,1.97058823529412,0,6,3,1.82820269546863,246,-16448.9047619048,21
13.487023,123.411155,2.40555555555556,0,8,3,1.93092221062593,258,-8820.88235294118,17
13.542887,123.151119,2.35406698564593,0,5,3,1.35483295000322,261,-49800.3333333333,15
13.566227,122.97619,0.790909090909091,0,6,0,1.42447910560015,264,-63469.3333333333,27
13.580141,124.226574,1.36363636363636,0,6,0,1.79062115219047,266,53375.5416666667,24
13.608908,123.20799,8.97402597402597,3,43,6,8.63406905831024,263,104973,24
13.627829,121.308543,0.513833992094862,0,4,0,1.11839166874265,138,-31166.4,15
13.634423,123.187052,8.94214876033058,0,43,6,8.54744874281054,256,58535.3684210526,19
13.678408,124.354694,0,0,0,0,0,265,-34629.875,8
13.71038,123.092536,1.7972027972028,0,11,2,2.00546425673578,257,-26140.8235294118,17
13.719718,123.282535,1.63973063973064,0,7,0,1.9507891494414,255,-40752.65,20
13.749816,122.130873,0.0584415584415584,0,3,0,0.391056582408634,183,-92345.2941176471,17
13.752089,121.378644,0.587662337662338,0,3,0,1.18710925940121,140,-71226.8125,16
13.75307,121.062666,13.8214285714286,2,51,7,12.9915004250685,133,132467.611111111,18
13.784862,121.005758,13.2463343108504,3,51,9,11.8556648060659,134,60258.8125,16
13.790333,121.135426,10.4147727272727,0,51,5,11.839795175836,135,53054.1111111111,18
13.846928,122.075409,0.233415233415233,0,3,0,0.792243109714767,182,-95879.1333333333,15
13.861456,122.053637,0.320454545454545,0,3,0,0.905332102936814,179,-81825.3529411765,17
13.897825,121.313067,5.32411067193676,3,33,4,3.85603445041366,184,23643.6666666667,15
13.898934,121.452,4.92292490118577,0,38,4,4.88926771150292,178,14311.5625,16
13.928999,120.952239,6.05769230769231,0,35,5,5.51024081293287,131,98625.0833333333,12
13.93478,121.62875,5.14478114478114,0,38,4,5.73935686614913,180,88864.5,12
13.94051,121.169341,5.72892561983471,0,35,4,5.55012436494109,137,96673.1428571429,14
13.962938,121.92012,1.64354838709677,0,6,2,1.64165495989503,177,35020.8823529412,17
13.968474,121.680693,4.03267045454545,0,38,3,5.40563014270785,181,83183.1333333333,15
13.972089,121.52615,4.62097902097902,0,38,4,4.74449191399545,186,-13093.1764705882,17
13.981984,121.320483,5.78051948051948,0,37,4,5.63519358601776,187,-15594.625,16
13.983901,120.74702,2.67792207792208,0,11,3,2.34870538872439,132,72798.8333333333,18
14.029506,121.112908,4.363,0,26,3,3.84421760687516,139,70954.2631578947,19
14.041745,120.958027,4.84312148028962,0,26,4,4.2508319436422,136,17307.4210526316,19
14.04709,121.06669,4.99847211611918,0,26,4,4.40131313323804,142,40018.8823529412,17
14.068644,121.302165,4.20961204400695,0,31,3,4.73566143710186,174,91853.25,16
14.075273,122.818746,0.388192267502612,0,11,0,1.21941369397537,251,-67824.3333333333,3
14.096027,121.140879,3.19847328244275,0,43,0,4.98890689602759,143,118093.421052632,19
14.107421,122.977574,0.37292817679558,0,11,0,1.16047284595075,249,-7120.71428571429,14
14.108851,121.028046,2.28131710808876,0,44,0,4.6467923889348,141,60382.0952380952,21
14.114487,120.966141,1.93799043062201,0,44,0,4.35028094222947,157,63298.35,20
14.130092,122.360336,0.847391440174945,0,44,0,3.08840052935745,252,-86963.9,20
14.168854,121.1076,2.89336177019461,0,54,0,6.297329480726,168,72352.0526315789,19
14.169548,121.136588,2.96287196287196,0,54,0,6.35636043812612,167,65975.5333333333,15
14.179892,121.165623,3.95375494071146,0,54,2,7.52871370045492,166,66893.3928571429,28
14.195,121.110374,5.44598930481283,0,54,3,9.04616437197127,165,104420.7,10
14.216797,121.127632,7.52673796791444,0,54,4,10.8323475216728,164,59652.5,6
14.221709,121.412236,7.6421875,0,54,4,11.4843647962463,170,21949.4545454545,22
14.239108,121.379447,9.24185248713551,0,57,4,13.2635159858853,173,66307.4285714286,14
14.257848,121.453691,6.66363636363636,0,56,3,11.6609062681262,171,61626.5333333333,15
14.257887,122.625674,0.223697650663943,0,4,0,0.820251229971982,250,-69342,18
14.264091,121.425954,7.31978609625668,0,56,3,12.3368749646837,175,69538.625,16
14.285454,120.903853,16.6039850560398,0,57,9,15.7199647211021,155,42073.125,16
14.291207,121.110965,17.3441558441558,2,57,10,16.27182134743,176,79906.3888888889,18
14.299849,121.310417,11.4314789687924,0,57,4,16.1047348934724,199,2419.82352941176,17
14.310523,120.931586,19.4574314574315,0,57,11,16.6151610125807,153,125769.666666667,15
14.315432,121.040408,19.4798807749627,3,57,11,16.8230243075208,159,51390.8666666667,15
14.328918,121.05422,20.0375,3,57,13,16.8454095231781,162,114295.642857143,14
14.330253,120.772564,11.3538961038961,0,49,7,11.1116177866386,156,51750.724137931,29
14.332319,121.446791,2.49350649350649,0,11,3,2.24440552035392,169,47768.5882352941,17
14.333422,120.965069,20.6462809917355,3,59,14,16.2277001412571,151,47888.6315789474,19
14.33505,121.094997,19.5272727272727,3,59,13,17.1586288218598,163,90935.1428571429,21
14.339618,120.947648,20.5690235690236,0,61,14,16.2500315233146,152,90853.0666666667,15
14.342775,120.951213,20.9022298456261,0,61,14,16.2172443910117,154,71984.9473684211,19
14.348659,121.084201,19.9376114081996,3,62,14,17.4443408956728,160,86046.75,4
14.35001,121.089007,19.7237076648841,3,62,13,17.5533968369198,161,58163.6666666667,9
14.370476,121.397011,2.6804347826087,0,7,3,1.65553400414328,172,31968.4615384615,13
14.377965,120.873284,21.559595959596,0,63,16,18.8407986068562,158,53347.6,20
14.378581,121.038564,23.4555555555556,3,63,19,18.6368179266229,710,143015.111111111,9
14.38025,121.055467,23.1131313131313,3,63,18,19.3456553746684,711,105850.72,25
14.38895,121.042853,25.2473572938689,3,63,22,19.7996350760658,705,102816.333333333,6
